date,open,high,low,close
2024-02-15 00:00:00,1.25678,1.2568,1.25651,1.25654
2024-02-15 00:05:00,1.25654,1.25675,1.25654,1.25667
2024-02-15 00:10:00,1.25666,1.25671,1.2566,1.2566
2024-02-15 00:15:00,1.25662,1.25684,1.25662,1.2568
2024-02-15 00:20:00,1.25681,1.25684,1.25672,1.25673
2024-02-15 00:25:00,1.25674,1.25685,1.25659,1.25664
2024-02-15 00:30:00,1.25664,1.25667,1.25636,1.25664
2024-02-15 00:35:00,1.25664,1.25678,1.25664,1.25674
2024-02-15 00:40:00,1.25674,1.25693,1.25669,1.25684
2024-02-15 00:45:00,1.25684,1.25692,1.25679,1.25688
2024-02-15 00:50:00,1.25686,1.257,1.25678,1.25699
2024-02-15 00:55:00,1.25698,1.25718,1.25697,1.25707
2024-02-15 01:00:00,1.25708,1.25736,1.25707,1.25714
2024-02-15 01:05:00,1.25715,1.25723,1.2569,1.25696
2024-02-15 01:10:00,1.25696,1.25698,1.25659,1.25667
2024-02-15 01:15:00,1.25668,1.25686,1.25662,1.25686
2024-02-15 01:20:00,1.25684,1.25689,1.25674,1.25682
2024-02-15 01:25:00,1.25683,1.25683,1.25644,1.25654
2024-02-15 01:30:00,1.25653,1.25677,1.25652,1.25656
2024-02-15 01:35:00,1.25656,1.25658,1.25626,1.25627
2024-02-15 01:40:00,1.25626,1.25658,1.25624,1.25656
2024-02-15 01:45:00,1.25657,1.25657,1.25638,1.25642
2024-02-15 01:50:00,1.25643,1.2565,1.25626,1.2563
2024-02-15 01:55:00,1.25631,1.25636,1.25622,1.25625
2024-02-15 02:00:00,1.25624,1.25635,1.25622,1.25632
2024-02-15 02:05:00,1.25632,1.25632,1.25586,1.25606
2024-02-15 02:10:00,1.25605,1.25616,1.25605,1.25607
2024-02-15 02:15:00,1.25608,1.25626,1.25605,1.25615
2024-02-15 02:20:00,1.25614,1.25626,1.2561,1.25623
2024-02-15 02:25:00,1.25622,1.25636,1.25621,1.25634
2024-02-15 02:30:00,1.25633,1.25649,1.25627,1.25644
2024-02-15 02:35:00,1.25644,1.25684,1.25644,1.25683
2024-02-15 02:40:00,1.25683,1.25683,1.25664,1.25672
2024-02-15 02:45:00,1.25672,1.25682,1.25666,1.25673
2024-02-15 02:50:00,1.25674,1.25676,1.25672,1.25674
2024-02-15 02:55:00,1.25674,1.25676,1.25656,1.25664
2024-02-15 03:00:00,1.25664,1.25665,1.25652,1.25665
2024-02-15 03:05:00,1.25665,1.25675,1.25661,1.25674
2024-02-15 03:10:00,1.25673,1.25674,1.25652,1.25671
2024-02-15 03:15:00,1.25672,1.25674,1.2566,1.25671
