date,open,high,low,close
2024-02-19 00:00:00,1.26109,1.26142,1.26108,1.26142
2024-02-19 00:05:00,1.26142,1.26142,1.26132,1.26136
2024-02-19 00:10:00,1.26137,1.26172,1.26134,1.26172
2024-02-19 00:15:00,1.26172,1.26183,1.26164,1.26177
2024-02-19 00:20:00,1.26178,1.26194,1.26176,1.26185
2024-02-19 00:25:00,1.26186,1.26219,1.26182,1.26192
2024-02-19 00:30:00,1.26192,1.26224,1.26192,1.26211
2024-02-19 00:35:00,1.26212,1.26221,1.2621,1.26214
2024-02-19 00:40:00,1.26214,1.2622,1.26179,1.26185
2024-02-19 00:45:00,1.26186,1.26205,1.26186,1.26202
2024-02-19 00:50:00,1.26203,1.26215,1.26192,1.26212
2024-02-19 00:55:00,1.26214,1.26218,1.26198,1.26213
2024-02-19 01:00:00,1.26214,1.26242,1.26206,1.26214
2024-02-19 01:05:00,1.26214,1.26262,1.26209,1.26241
2024-02-19 01:10:00,1.26242,1.26262,1.2624,1.26259
2024-02-19 01:15:00,1.2626,1.26273,1.26234,1.26246
2024-02-19 01:20:00,1.26247,1.26263,1.2623,1.26234
2024-02-19 01:25:00,1.26233,1.26233,1.26192,1.26194
2024-02-19 01:30:00,1.26196,1.26196,1.26165,1.26184
2024-02-19 01:35:00,1.26184,1.26185,1.26119,1.2612
2024-02-19 01:40:00,1.26122,1.26144,1.26122,1.26144
2024-02-19 01:45:00,1.26144,1.26164,1.2614,1.26155
2024-02-19 01:50:00,1.26154,1.2616,1.2615,1.2615
2024-02-19 01:55:00,1.2615,1.26154,1.26139,1.26142
2024-02-19 02:00:00,1.26142,1.26143,1.26122,1.26131
2024-02-19 02:05:00,1.26132,1.26145,1.26122,1.26125
2024-02-19 02:10:00,1.26125,1.2615,1.26125,1.26136
2024-02-19 02:15:00,1.26137,1.26156,1.26132,1.26152
2024-02-19 02:20:00,1.26152,1.2616,1.26143,1.26154
2024-02-19 02:25:00,1.26155,1.26155,1.26134,1.26142
2024-02-19 02:30:00,1.26142,1.26158,1.26137,1.26146
2024-02-19 02:35:00,1.26146,1.26156,1.26146,1.26152
2024-02-19 02:40:00,1.26152,1.26158,1.26144,1.26155
2024-02-19 02:45:00,1.26154,1.26158,1.26152,1.26157
2024-02-19 02:50:00,1.26156,1.26158,1.26148,1.26155
2024-02-19 02:55:00,1.26154,1.26164,1.26152,1.26155
2024-02-19 03:00:00,1.26155,1.26187,1.26154,1.26179
2024-02-19 03:05:00,1.26178,1.26181,1.26168,1.26169
2024-02-19 03:10:00,1.2617,1.26175,1.26162,1.26172
2024-02-19 03:15:00,1.26173,1.26175,1.26159,1.26167
2024-02-19 03:20:00,1.26166,1.26166,1.26152,1.26163
2024-02-19 03:25:00,1.26164,1.26174,1.26156,1.26164
2024-02-19 03:30:00,1.26165,1.26166,1.26128,1.26139
2024-02-19 03:35:00,1.26138,1.26152,1.26135,1.26152
2024-02-19 03:40:00,1.26153,1.26158,1.26148,1.26151
2024-02-19 03:45:00,1.2615,1.26156,1.26142,1.26149
2024-02-19 03:50:00,1.2615,1.26152,1.26132,1.26136
2024-02-19 03:55:00,1.26136,1.26137,1.26124,1.26127
2024-02-19 04:00:00,1.26126,1.26128,1.26116,1.26126
2024-02-19 04:05:00,1.26126,1.2614,1.26125,1.26128
2024-02-19 04:10:00,1.26127,1.26137,1.26124,1.2613
2024-02-19 04:15:00,1.2613,1.26144,1.26124,1.26134
2024-02-19 04:20:00,1.26135,1.26136,1.2612,1.26136
2024-02-19 04:25:00,1.26136,1.26136,1.26124,1.26127
2024-02-19 04:30:00,1.26128,1.26146,1.26122,1.26145
2024-02-19 04:35:00,1.26146,1.26147,1.26137,1.26144
2024-02-19 04:40:00,1.26145,1.26155,1.26144,1.26154
2024-02-19 04:45:00,1.26153,1.26155,1.26145,1.26147
2024-02-19 04:50:00,1.26147,1.26155,1.26126,1.26142
2024-02-19 04:55:00,1.26142,1.26162,1.26142,1.26158
2024-02-19 05:00:00,1.26159,1.26194,1.26159,1.26188
2024-02-19 05:05:00,1.26187,1.26198,1.2618,1.26195
2024-02-19 05:10:00,1.26194,1.26198,1.26187,1.26196
2024-02-19 05:15:00,1.26196,1.26198,1.26188,1.26196
2024-02-19 05:20:00,1.26196,1.26198,1.2619,1.26195
2024-02-19 05:25:00,1.26194,1.26198,1.26189,1.26195
2024-02-19 05:30:00,1.26195,1.26208,1.26188,1.262
2024-02-19 05:35:00,1.262,1.26201,1.26186,1.262
2024-02-19 05:40:00,1.262,1.26204,1.26191,1.26192
2024-02-19 05:45:00,1.26194,1.26214,1.26191,1.26206
2024-02-19 05:50:00,1.26206,1.26207,1.26194,1.26199
2024-02-19 05:55:00,1.26198,1.26206,1.2619,1.26192
2024-02-19 06:00:00,1.26192,1.26193,1.26172,1.26184
2024-02-19 06:05:00,1.26185,1.26185,1.26159,1.26165
2024-02-19 06:10:00,1.26165,1.26178,1.26164,1.26175
2024-02-19 06:15:00,1.26175,1.26184,1.26161,1.26173
2024-02-19 06:20:00,1.26172,1.26176,1.26151,1.26164
2024-02-19 06:25:00,1.26163,1.26188,1.2615,1.26186
2024-02-19 06:30:00,1.26187,1.26202,1.26184,1.26199
2024-02-19 06:35:00,1.26199,1.26214,1.26194,1.26214
2024-02-19 06:40:00,1.26214,1.2623,1.26208,1.26213
2024-02-19 06:45:00,1.26212,1.26225,1.26206,1.2622
2024-02-19 06:50:00,1.26221,1.26234,1.2621,1.26231
2024-02-19 06:55:00,1.26232,1.26245,1.2623,1.26244
2024-02-19 07:00:00,1.26244,1.26255,1.26219,1.26221
2024-02-19 07:05:00,1.26222,1.26254,1.26221,1.26242
2024-02-19 07:10:00,1.26242,1.26261,1.2624,1.26244
2024-02-19 07:15:00,1.26244,1.26254,1.26226,1.26252
2024-02-19 07:20:00,1.26252,1.26262,1.26239,1.26255
2024-02-19 07:25:00,1.26255,1.26267,1.26245,1.26264
2024-02-19 07:30:00,1.26264,1.26296,1.26259,1.26294
2024-02-19 07:35:00,1.26295,1.26298,1.26247,1.26255
2024-02-19 07:40:00,1.26254,1.26266,1.26232,1.26236
2024-02-19 07:45:00,1.26235,1.26243,1.262,1.26201
2024-02-19 07:50:00,1.26202,1.26236,1.26192,1.26201
2024-02-19 07:55:00,1.26202,1.2622,1.26191,1.26202
2024-02-19 08:00:00,1.26202,1.26268,1.26201,1.26252
2024-02-19 08:05:00,1.26252,1.26268,1.26222,1.26226
2024-02-19 08:10:00,1.26225,1.26255,1.26222,1.26253
2024-02-19 08:15:00,1.26254,1.26266,1.26239,1.26253
2024-02-19 08:20:00,1.26252,1.26254,1.26218,1.26248
2024-02-19 08:25:00,1.26248,1.2628,1.26247,1.26264
2024-02-19 08:30:00,1.26265,1.26268,1.26232,1.26245
2024-02-19 08:35:00,1.26245,1.26247,1.26214,1.26237
2024-02-19 08:40:00,1.26238,1.26245,1.26205,1.26212
2024-02-19 08:45:00,1.26213,1.2623,1.26211,1.26227
2024-02-19 08:50:00,1.26228,1.26236,1.26194,1.26194
2024-02-19 08:55:00,1.26195,1.26195,1.26143,1.26164
2024-02-19 09:00:00,1.26163,1.26234,1.26161,1.26228
2024-02-19 09:05:00,1.26227,1.26228,1.26158,1.26176
