date,open,high,low,close
2024-02-12 00:00:00,1.26368,1.26388,1.26367,1.26386
2024-02-12 00:05:00,1.26386,1.26388,1.26374,1.26376
2024-02-12 00:10:00,1.26375,1.26377,1.26366,1.26369
2024-02-12 00:15:00,1.26368,1.26378,1.26366,1.26375
2024-02-12 00:20:00,1.26376,1.26398,1.26375,1.26395
2024-02-12 00:25:00,1.26395,1.26404,1.26385,1.26394
2024-02-12 00:30:00,1.26394,1.26416,1.26394,1.26409
2024-02-12 00:35:00,1.2641,1.26429,1.26407,1.26424
2024-02-12 00:40:00,1.26424,1.26433,1.26418,1.26425
2024-02-12 00:45:00,1.26425,1.2644,1.26424,1.26437
2024-02-12 00:50:00,1.26439,1.2644,1.26423,1.26427
2024-02-12 00:55:00,1.26428,1.2643,1.26399,1.26399
2024-02-12 01:00:00,1.26399,1.264,1.26385,1.26388
2024-02-12 01:05:00,1.26389,1.2639,1.26381,1.26386
2024-02-12 01:10:00,1.26387,1.26398,1.26372,1.26374
2024-02-12 01:15:00,1.26373,1.26375,1.26358,1.26372
2024-02-12 01:20:00,1.26371,1.26375,1.26363,1.26366
2024-02-12 01:25:00,1.26366,1.26369,1.26352,1.26355
2024-02-12 01:30:00,1.26355,1.26373,1.26343,1.26367
2024-02-12 01:35:00,1.26368,1.26375,1.26363,1.26368
2024-02-12 01:40:00,1.26368,1.26381,1.26368,1.26371
2024-02-12 01:45:00,1.26372,1.26378,1.26355,1.26356
2024-02-12 01:50:00,1.26357,1.26357,1.26351,1.26353
2024-02-12 01:55:00,1.26354,1.26358,1.2635,1.26358
2024-02-12 02:00:00,1.26359,1.26365,1.2635,1.26355
2024-02-12 02:05:00,1.26355,1.26368,1.26352,1.26365
2024-02-12 02:10:00,1.26365,1.26378,1.26362,1.26374
2024-02-12 02:15:00,1.26374,1.26381,1.26366,1.26366
2024-02-12 02:20:00,1.26367,1.26368,1.26346,1.26351
2024-02-12 02:25:00,1.26352,1.26357,1.26346,1.26354
2024-02-12 02:30:00,1.26354,1.26378,1.26347,1.26376
2024-02-12 02:35:00,1.26376,1.26378,1.26373,1.26376
2024-02-12 02:40:00,1.26377,1.26377,1.26366,1.26372
2024-02-12 02:45:00,1.26373,1.26378,1.26362,1.26367
2024-02-12 02:50:00,1.26368,1.26368,1.26345,1.26346
2024-02-12 02:55:00,1.26345,1.26345,1.26324,1.26326
2024-02-12 03:00:00,1.26326,1.26348,1.26324,1.26347
2024-02-12 03:05:00,1.26346,1.26356,1.26343,1.26355
2024-02-12 03:10:00,1.26355,1.26358,1.26345,1.26347
2024-02-12 03:15:00,1.26347,1.26354,1.26344,1.26345
2024-02-12 03:20:00,1.26345,1.26345,1.26305,1.26307
2024-02-12 03:25:00,1.26306,1.26308,1.26296,1.26306
2024-02-12 03:30:00,1.26305,1.26306,1.26276,1.26276
2024-02-12 03:35:00,1.26277,1.26282,1.26268,1.26276
2024-02-12 03:40:00,1.26276,1.26287,1.26272,1.26286
2024-02-12 03:45:00,1.26286,1.26288,1.26267,1.26277
2024-02-12 03:50:00,1.26276,1.26293,1.26274,1.26283
2024-02-12 03:55:00,1.26282,1.26288,1.26282,1.26288
2024-02-12 04:00:00,1.26288,1.263,1.26288,1.26297
2024-02-12 04:05:00,1.26298,1.26311,1.26297,1.26308
2024-02-12 04:10:00,1.26307,1.26318,1.26298,1.26318
2024-02-12 04:15:00,1.26317,1.26318,1.26304,1.26308
2024-02-12 04:20:00,1.26308,1.2634,1.26307,1.26335
2024-02-12 04:25:00,1.26336,1.26336,1.26318,1.26318
2024-02-12 04:30:00,1.26318,1.26319,1.26297,1.26298
2024-02-12 04:35:00,1.26298,1.26309,1.26298,1.26306
2024-02-12 04:40:00,1.26307,1.26308,1.26288,1.26288
2024-02-12 04:45:00,1.26288,1.26292,1.26283,1.26284
2024-02-12 04:50:00,1.26284,1.26294,1.26275,1.26288
2024-02-12 04:55:00,1.26288,1.2629,1.26278,1.26288
2024-02-12 05:00:00,1.2629,1.26299,1.2628,1.2629
2024-02-12 05:05:00,1.2629,1.2629,1.26285,1.26288
2024-02-12 05:10:00,1.26288,1.263,1.26288,1.26299
2024-02-12 05:15:00,1.26298,1.26318,1.26298,1.26317
2024-02-12 05:20:00,1.26318,1.2633,1.26316,1.26327
2024-02-12 05:25:00,1.26328,1.2633,1.26326,1.26328
2024-02-12 05:30:00,1.26327,1.2633,1.26318,1.26328
2024-02-12 05:35:00,1.26328,1.26329,1.26316,1.26318
