<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.09.04	05:15:00	1.25992	1.26006	1.25984	1.26004	106	0	7
2023.09.04	05:20:00	1.26004	1.26006	1.25993	1.26004	139	0	5
2023.09.04	05:25:00	1.26002	1.26030	1.25998	1.26019	130	0	5
2023.09.04	05:30:00	1.26019	1.26035	1.26010	1.26014	150	0	7
2023.09.04	05:35:00	1.26014	1.26017	1.26005	1.26005	69	0	7
2023.09.04	05:40:00	1.26005	1.26049	1.26002	1.26042	209	0	6
2023.09.04	05:45:00	1.26042	1.26046	1.26012	1.26039	251	0	6
2023.09.04	05:50:00	1.26039	1.26053	1.26033	1.26041	113	0	7
2023.09.04	05:55:00	1.26041	1.26044	1.26021	1.26023	138	0	7
2023.09.04	06:00:00	1.26023	1.26026	1.26003	1.26003	98	0	7
2023.09.04	06:05:00	1.26002	1.26024	1.26002	1.26014	86	0	6
2023.09.04	06:10:00	1.26014	1.26015	1.25993	1.25994	50	0	8
2023.09.04	06:15:00	1.25994	1.26014	1.25993	1.26010	57	0	7
2023.09.04	06:20:00	1.26010	1.26032	1.26004	1.26026	66	0	8
2023.09.04	06:25:00	1.26026	1.26034	1.25994	1.25994	66	0	6
2023.09.04	06:30:00	1.25994	1.26044	1.25994	1.26039	199	0	6
2023.09.04	06:35:00	1.26039	1.26041	1.26014	1.26023	139	0	6
2023.09.04	06:40:00	1.26023	1.26034	1.26022	1.26031	72	0	6
2023.09.04	06:45:00	1.26031	1.26045	1.26027	1.26034	123	0	6
2023.09.04	06:50:00	1.26033	1.26033	1.26012	1.26031	82	0	6
2023.09.04	06:55:00	1.26031	1.26036	1.26025	1.26028	71	0	6
2023.09.04	07:00:00	1.26028	1.26045	1.26027	1.26036	69	0	4
2023.09.04	07:05:00	1.26036	1.26039	1.26017	1.26030	138	0	3
2023.09.04	07:10:00	1.26030	1.26034	1.26024	1.26024	40	0	5
2023.09.04	07:15:00	1.26024	1.26024	1.25999	1.26014	55	0	0
